sort,id,parent,scheme,context,domain,property,skos_exactMatch,rdfs_comment_en,skos_prefLabel_en,skos_altLabel_en,skos_hiddenLabel_en,skos_prefLabel_de,skos_altLabel_de,skos_prefLabel_fr,skos_altLabel_fr,skos_prefLabel_it,skos_altLabel_it,skos_definition_en
398,http://vocab.performing-arts.ch/rsfil,http://vocab.performing-arts.ch/rstyp,False,Record Resource,,,ric-rst:File; wd:Q19515368,"""An organized unit of documents grouped together either for current use by the creator or in the process of archival arrangement, because they relate to the same subject, activity, or transaction. A file is usually the basic unit within a record series."" (ISAD-G, 2nd end.)",file,dossier,,Dossier,,dossier,,dossier,,
399,http://vocab.performing-arts.ch/rsitm,http://vocab.performing-arts.ch/rs,False,Record Resource,rico:Record,,wd:Q11723795,"""Recorded information in any form or medium, created or received and maintained, by an organization or person in the transaction of business or the conduct of affairs."" (ISAD-G, 2nd end.)",document,record; item,,Dokument,,document,,documento,,
400,http://vocab.performing-arts.ch/wa,,True,Record Resource,crm:E42_Identifier,crm:P2_has_type,,,identifier,,,,,,,,,
401,http://vocab.performing-arts.ch/wayst,http://vocab.performing-arts.ch/wa,False,Record Resource,,,,,signature,,,Signature,,cote,,segnatura,,
402,http://vocab.performing-arts.ch/wajzb,http://vocab.performing-arts.ch/wa,False,Record Resource,,,,,delivery number,,,Ablieferungsnummer,,n° de versement,,numero di consegna,,
403,http://vocab.performing-arts.ch/wamim,http://vocab.performing-arts.ch/wa,False,Record Resource,,,,,previous signature,,,vorherige Signatur,,cote précédente,,segnatura precedente,,
404,http://vocab.performing-arts.ch/yy,,True,Record Resource,,,,,permission,,,,,,,,,
405,http://vocab.performing-arts.ch/zb,,True,Record Resource,,,,,accrual status,,,,,,,,,
406,http://vocab.performing-arts.ch/cp,,True,Record Resource,rico:RecordRecourse,spao:hasCopyrightDeclaration,,,copyright declaration,,,Urheberrechtserklärung,,déclaration d'accord,,,,
407,http://vocab.performing-arts.ch/cpyes,http://vocab.performing-arts.ch/cp,False,Record Resource,,,,,yes,,,ja,,oui,,,,
408,http://vocab.performing-arts.ch/cpno,http://vocab.performing-arts.ch/cp,False,Record Resource,,,,,no,,,nein,,non,,,,
409,http://vocab.performing-arts.ch/cpprs,http://vocab.performing-arts.ch/cp,False,Record Resource,,,,,purchase,,,Ankauf,,achat,,,,
410,http://vocab.performing-arts.ch/cpprt,http://vocab.performing-arts.ch/cp,False,Record Resource,,,,,partial,,,partiell,,partiel,,,,
411,http://vocab.performing-arts.ch/cppnd,http://vocab.performing-arts.ch/cp,False,Record Resource,,,,,pending,,,pendent,,en cours,,,,
412,http://vocab.performing-arts.ch/bl,,True,Record Resource,,,,,extended boolean,,,,,,,,,
413,http://vocab.performing-arts.ch/blyes,http://vocab.performing-arts.ch/bl,False,Record Resource,,,,,yes,,,ja,,oui,,,,
414,http://vocab.performing-arts.ch/blno,http://vocab.performing-arts.ch/bl,False,Record Resource,,,,,no,,,nein,,non,,,,
415,http://vocab.performing-arts.ch/blukn,http://vocab.performing-arts.ch/bl,False,Record Resource,,,,,unknown,,,unbekannt,,inconnu,,,,
416,http://vocab.performing-arts.ch/xg,,True,Record Resource,,,,,classification,,,,,,,,,
417,http://vocab.performing-arts.ch/tj,,True,Record Resource,,,,,access category,,,,,,,,,
418,http://vocab.performing-arts.ch/tjzns,http://vocab.performing-arts.ch/tj,False,Record Resource,,,,,public,,,,,,,,,
419,http://vocab.performing-arts.ch/tjeev,http://vocab.performing-arts.ch/tj,False,Record Resource,,,,,staff only,,,,,,,,,
420,http://vocab.performing-arts.ch/sz,,True,Record Resource,,,,,conditions of access,,,,,,,,,
421,http://vocab.performing-arts.ch/ha,,True,Record Resource,,,,,conditions of use,,,,,,,,,
422,http://vocab.performing-arts.ch/mu,,True,Activity,crm:E7_Activity,crm:P2_has_type,,,activity type,,,,,type d'activités,,,,
423,http://vocab.performing-arts.ch/muyql,http://vocab.performing-arts.ch/mu,False,Activity,,,rdaa:P50204; frbr:creatorOf,equivalent in SPA Data Model: is creator of,creation,,,geistige Schöpfung,,création,,creazione,,
424,http://vocab.performing-arts.ch/muiuk,http://vocab.performing-arts.ch/muyql,False,Activity,,,rdaa:P50195; eclap:playwright,equivalent in SPA Data Model: is author of,authorship,,,Autorschaft,,paternité,,paternità,,
425,http://vocab.performing-arts.ch/mujmh,http://vocab.performing-arts.ch/muiuk,False,Activity,,,rdaa:P50225,equivalent in SPA Data Model: is librettist of,libretto,,,Libretto,,livret,,libretto,,
